Name	Link	Family	Max Thickness (%)	x-Locationof Max Thickness (%)	Camber (%)	Data Sources	Cl max	Cl/Cd max	Cd @ Cl=0.1	Cd @ Cl=0.4	Cd @ Cl=0.6
CLARK K	CLARK K	Clark	11.7	30.1	3.3	JF XF	1.72	149	0.006	0.006	0.007
CLARK V	CLARK V	Clark	11.7	33.8	3.4	JF XF	1.66	131	0.006	0.006	0.006
CLARK W	CLARK W	Clark	11.3	26.5	3.8	JF XF	1.71	140	0.007	0.006	0.006
CLARK X	CLARK X	Clark	11.7	30.1	3.3	JF XF	1.6	127	0.007	0.006	0.006
CLARK Y	CLARK Y	Clark	11.7	28.2	3.4	JF WT XF	1.53	127	0.008	0.009	0.009
CLARK YH	CLARK YH	Clark	11.9	30.1	1.9	JF XF	1.47	107	0.006	0.007	0.008
CLARK YM-15	CLARK YM-15	Clark	15	30.1	3.6	JF XF	1.94	144	0.007	0.008	0.008
CLARK YM-18	CLARK YM-18	Clark	18	30.1	3.6	JF XF	2.17	141	0.008	0.008	0.008
CLARK YS	CLARK YS	Clark	11.7	30.1	2.3	JF XF	1.35	117	0.005	0.005	0.005
CLARK Z	CLARK Z	Clark	11.7	30.1	4.1	JF XF	1.83	150	0.007	0.007	0.007
CLARK-Y 11.7% SMOOTHED	CLARK-Y 11.7% smoothed	Clark	11.7	30.1	3.5	JF XF	1.63	194	0.006	0.006	0.006
COANDA 1	Coanda 1	Uncategorized	5.7	31.9	2.8	JF XF	1.11	138	0.005	0.006	0.006
COANDA 2	Coanda 2	Uncategorized	6	26.5	2.6	JF XF	1.13	143	0.005	0.005	0.006
COANDA 3	Coanda 3	Uncategorized	7	35.8	2.5	JF XF	1.2	160	0.005	0.006	0.006
CODY ROBERTSON CR 001 R/C HAND-LAUNCH LOW REYNOLDS NUMBER AIRFOIL (SMOOTHED)	Cody Robertson CR 001 R/C hand-launch low Reynolds number airfoil (smoothed)	Uncategorized	7.3	26.5	4.1	JF WT XF	1.38	142	0.006	0.006	0.006
CRISTAL_CB85_15_7	cristal_cb85_15_7	Uncategorized	15.7	39.7	3.5	JF XF	1.56	158	0.005	0.005	0.004
CURTIS C-72	Curtis C-72	Uncategorized	11.7	28.3	2.4	JF XF	1.76	152	0.006	0.006	0.006
